### node
runtime: Node.js
name           cb.len  promise.len  cb.len-1  promise.ctor
access              3            1         2  AsyncFunction
appendFile          4            3         3  AsyncFunction
chmod               3            2         2  AsyncFunction
chown               4            3         3  AsyncFunction
copyFile            4            3         3  AsyncFunction
cp                  4            3         3  AsyncFunction
glob                3            2         2  AsyncGeneratorFunction
lchmod              -            2         -  AsyncFunction
lchown              4            3         3  AsyncFunction
link                3            2         2  AsyncFunction
lstat               1            1         0  AsyncFunction
lutimes             4            3         3  AsyncFunction
mkdir               3            2         2  AsyncFunction
mkdtemp             3            2         2  AsyncFunction
mkdtempDisposable      -            2         -  AsyncFunction
open                4            3         3  AsyncFunction
opendir             3            3         2  Function
readFile            3            2         2  AsyncFunction
readdir             3            2         2  AsyncFunction
readlink            3            2         2  AsyncFunction
realpath            3            2         2  AsyncFunction
rename              3            2         2  AsyncFunction
rm                  3            2         2  AsyncFunction
rmdir               3            2         2  AsyncFunction
stat                1            1         0  AsyncFunction
statfs              1            1         0  AsyncFunction
symlink             4            3         3  AsyncFunction
truncate            3            1         2  AsyncFunction
unlink              2            1         1  AsyncFunction
utimes              4            3         3  AsyncFunction
watch               3            1         2  AsyncGeneratorFunction
writeFile           4            3         3  AsyncFunction
### bun
runtime: Bun
name           cb.len  promise.len  cb.len-1  promise.ctor
access              3            3         2  AsyncFunction
appendFile          4            1         3  AsyncFunction
chmod               3            3         2  AsyncFunction
chown               4            4         3  AsyncFunction
close               2            1         1  AsyncFunction
copyFile            4            4         3  AsyncFunction
cp                  4            3         3  AsyncFunction
exists              2            0         1  AsyncFunction
fchmod              3            3         2  AsyncFunction
fchown              4            4         3  AsyncFunction
fdatasync           2            2         1  AsyncFunction
fstat               3            1         2  AsyncFunction
fsync               2            2         1  AsyncFunction
ftruncate           1            1         0  AsyncFunction
futimes             4            4         3  AsyncFunction
glob                3            2         2  AsyncGeneratorFunction
lchmod              -            2         -  AsyncFunction
lchown              4            4         3  AsyncFunction
link                3            3         2  AsyncFunction
lstat               3            1         2  AsyncFunction
lutimes             4            4         3  AsyncFunction
mkdir               3            3         2  AsyncFunction
mkdtemp             3            3         2  AsyncFunction
mkdtempDisposable      -            2         -  AsyncFunction
open                4            1         3  AsyncFunction
opendir             3            2         2  AsyncFunction
read                6            6         5  AsyncFunction
readFile            3            1         2  AsyncFunction
readdir             3            3         2  AsyncFunction
readlink            3            3         2  AsyncFunction
readv               4            3         3  AsyncFunction
realpath            3            3         2  AsyncFunction
rename              3            3         2  AsyncFunction
rm                  3            2         2  AsyncFunction
rmdir               3            2         2  AsyncFunction
stat                3            1         2  AsyncFunction
statfs              3            2         2  AsyncFunction
symlink             4            4         3  AsyncFunction
truncate            3            3         2  AsyncFunction
unlink              2            2         1  AsyncFunction
utimes              4            4         3  AsyncFunction
watch               3            1         2  Function
write               6            6         5  AsyncFunction
### deno run --allow-all
runtime: Deno
name           cb.len  promise.len  cb.len-1  promise.ctor
access              3            0         2  Function
appendFile          4            3         3  Function
chmod               3            0         2  Function
chown               4            0         3  Function
copyFile            4            4         3  Function
cp                  4            3         3  AsyncFunction
glob                2            2         1  Function
lchmod              -            0         -  Function
lchown              4            0         3  Function
link                3            0         2  Function
lstat               3            3         2  Function
lutimes             4            4         3  Function
mkdir               3            0         2  Function
mkdtemp             3            0         2  Function
mkdtempDisposable      -            2         -  AsyncFunction
open                4            1         3  Function
opendir             3            0         2  Function
readFile            3            2         2  Function
readdir             3            3         2  Function
readlink            3            0         2  Function
realpath            3            0         2  Function
rename              3            0         2  Function
rm                  3            0         2  Function
rmdir               3            0         2  Function
stat                1            0         0  Function
statfs              3            0         2  Function
symlink             4            0         3  Function
truncate            1            2         0  AsyncFunction
unlink              2            0         1  Function
utimes              4            0         3  Function
watch               3            0         2  Function
writeFile           4            3         3  Function
